nif,modelo,ejercicio,casilla,valor
E31599504,200,2024,C00255,34354830.0
E31599504,200,2024,C00500,5153224.5
E31599504,200,2024,C00032,3435483.0
E31599504,200,2024,C00033,51532245.0
E31599504,200,2024,C00195,13741931.999999998
E31599504,200,2024,C00296,687096.6
E31599504,200,2024,C00279,1717741.5
A54367386,200,2024,C00255,1035799.0
A54367386,200,2024,C00500,155369.85
A54367386,200,2024,C00032,103579.90000000001
A54367386,200,2024,C00033,1553698.5
A54367386,200,2024,C00195,414319.6
A54367386,200,2024,C00296,20715.98
A54367386,200,2024,C00279,51789.950000000004
E15360735,200,2024,C00255,7928132.0
E15360735,200,2024,C00500,1000.0
E15360735,200,2024,C00032,5000.0
E15360735,200,2024,C00033,11892198.0
E15360735,200,2024,C00195,0.0
E15360735,200,2024,C00296,0.0
E15360735,200,2024,C00279,0.0
P90111922,200,2024,C00255,6031500.0
P90111922,200,2024,C00500,904725.0
P90111922,200,2024,C00032,603150.0
P90111922,200,2024,C00033,9047250.0
P90111922,200,2024,C00195,2412600.0
P90111922,200,2024,C00296,120630.0
P90111922,200,2024,C00279,0.0
N75840632,200,2024,C00255,59802308.0
N75840632,200,2024,C00500,23920923.200000003
N75840632,200,2024,C00032,1000.0
N75840632,200,2024,C00033,89703462.0
N75840632,200,2024,C00195,5980230.800000001
N75840632,200,2024,C00296,2392092.3200000003
N75840632,200,2024,C00279,1196046.16
C52662313,200,2024,C00255,14860195.0
C52662313,200,2024,C00500,2229029.25
C52662313,200,2024,C00032,1486019.5
C52662313,200,2024,C00033,22290292.5
C52662313,200,2024,C00195,5944078.0
C52662313,200,2024,C00296,297203.9
C52662313,200,2024,C00279,0.0
F79874593,200,2024,C00255,41456931.0
F79874593,200,2024,C00500,6218539.649999999
F79874593,200,2024,C00032,4145693.1
F79874593,200,2024,C00033,62185396.5
F79874593,200,2024,C00195,16582772.399999999
F79874593,200,2024,C00296,829138.62
F79874593,200,2024,C00279,0.0
W31390345,200,2024,C00255,18997177.0
W31390345,200,2024,C00500,2849576.55
W31390345,200,2024,C00032,1899717.7000000002
W31390345,200,2024,C00033,28495765.5
W31390345,200,2024,C00195,7598870.799999999
W31390345,200,2024,C00296,379943.54
W31390345,200,2024,C00279,949858.8500000001
R22340723,200,2024,C00255,22548702.0
R22340723,200,2024,C00500,3382305.3
R22340723,200,2024,C00032,2254870.2
R22340723,200,2024,C00033,33823053.0
R22340723,200,2024,C00195,9019480.8
R22340723,200,2024,C00296,450974.04000000004
R22340723,200,2024,C00279,1127435.1
H38635863,200,2024,C00255,30737783.0
H38635863,200,2024,C00500,4610667.45
H38635863,200,2024,C00032,3073778.3000000003
H38635863,200,2024,C00033,46106674.5
H38635863,200,2024,C00195,12295113.2
H38635863,200,2024,C00296,614755.66
H38635863,200,2024,C00279,1536889.1500000001
P58425464,200,2024,C00255,37853622.0
P58425464,200,2024,C00500,5678043.3
P58425464,200,2024,C00032,3785362.2
P58425464,200,2024,C00033,56780433.0
P58425464,200,2024,C00195,15141448.8
P58425464,200,2024,C00296,757072.4400000001
P58425464,200,2024,C00279,1892681.1
G92984217,200,2024,C00255,36542151.0
G92984217,200,2024,C00500,5481322.649999999
G92984217,200,2024,C00032,3654215.1
G92984217,200,2024,C00033,54813226.5
G92984217,200,2024,C00195,14616860.4
G92984217,200,2024,C00296,730843.02
G92984217,200,2024,C00279,1827107.55
A25397719,200,2024,C00255,38056347.0
A25397719,200,2024,C00500,5708452.05
A25397719,200,2024,C00032,3805634.7
A25397719,200,2024,C00033,57084520.5
A25397719,200,2024,C00195,15222538.8
A25397719,200,2024,C00296,761126.9400000001
A25397719,200,2024,C00279,1902817.35
U42258945,200,2024,C00255,5987248.0
U42258945,200,2024,C00500,898087.2
U42258945,200,2024,C00032,598724.8
U42258945,200,2024,C00033,8980872.0
U42258945,200,2024,C00195,2394899.2
U42258945,200,2024,C00296,119744.96
U42258945,200,2024,C00279,0.0
B53075436,200,2024,C00255,49555652.0
B53075436,200,2024,C00500,7433347.8
B53075436,200,2024,C00032,4955565.2
B53075436,200,2024,C00033,74333478.0
B53075436,200,2024,C00195,19822260.8
B53075436,200,2024,C00296,991113.04
B53075436,200,2024,C00279,2477782.6
D61791391,200,2024,C00255,28520451.0
D61791391,200,2024,C00500,4278067.649999999
D61791391,200,2024,C00032,2852045.1
D61791391,200,2024,C00033,42780676.5
D61791391,200,2024,C00195,11408180.4
D61791391,200,2024,C00296,570409.02
D61791391,200,2024,C00279,1426022.55
N13315946,200,2024,C00255,26624197.0
N13315946,200,2024,C00500,3993629.55
N13315946,200,2024,C00032,2662419.7
N13315946,200,2024,C00033,39936295.5
N13315946,200,2024,C00195,10649678.8
N13315946,200,2024,C00296,532483.9400000001
N13315946,200,2024,C00279,1331209.85
W78281335,200,2024,C00255,16224205.0
W78281335,200,2024,C00500,2433630.75
W78281335,200,2024,C00032,1622420.5
W78281335,200,2024,C00033,24336307.5
W78281335,200,2024,C00195,6489682.0
W78281335,200,2024,C00296,324484.10000000003
W78281335,200,2024,C00279,811210.25
V15885670,200,2024,C00255,12124629.0
V15885670,200,2024,C00500,1818694.3499999999
V15885670,200,2024,C00032,1212462.9000000001
V15885670,200,2024,C00033,18186943.5
V15885670,200,2024,C00195,4849851.6
V15885670,200,2024,C00296,242492.58000000002
V15885670,200,2024,C00279,606231.4500000001
G52991650,200,2024,C00255,46687969.0
G52991650,200,2024,C00500,1000.0
G52991650,200,2024,C00032,5000.0
G52991650,200,2024,C00033,70031953.5
G52991650,200,2024,C00195,0.0
G52991650,200,2024,C00296,0.0
G52991650,200,2024,C00279,0.0
D32467350,200,2024,C00255,9593575.0
D32467350,200,2024,C00500,1439036.25
D32467350,200,2024,C00032,959357.5
D32467350,200,2024,C00033,14390362.5
D32467350,200,2024,C00195,3837430.0
D32467350,200,2024,C00296,191871.5
D32467350,200,2024,C00279,0.0
C38290610,200,2024,C00255,23837956.0
C38290610,200,2024,C00500,1000.0
C38290610,200,2024,C00032,5000.0
C38290610,200,2024,C00033,35756934.0
C38290610,200,2024,C00195,0.0
C38290610,200,2024,C00296,0.0
C38290610,200,2024,C00279,0.0
S23948820,200,2024,C00255,35040951.0
S23948820,200,2024,C00500,5256142.649999999
S23948820,200,2024,C00032,3504095.1
S23948820,200,2024,C00033,52561426.5
S23948820,200,2024,C00195,14016380.4
S23948820,200,2024,C00296,700819.02
S23948820,200,2024,C00279,0.0
S96779969,200,2024,C00255,17268763.0
S96779969,200,2024,C00500,2590314.4499999997
S96779969,200,2024,C00032,1726876.3
S96779969,200,2024,C00033,25903144.5
S96779969,200,2024,C00195,6907505.2
S96779969,200,2024,C00296,345375.26
S96779969,200,2024,C00279,0.0
E13188066,200,2024,C00255,62392104.0
E13188066,200,2024,C00500,24956841.6
E13188066,200,2024,C00032,1000.0
E13188066,200,2024,C00033,93588156.0
E13188066,200,2024,C00195,6239210.4
E13188066,200,2024,C00296,2495684.16
E13188066,200,2024,C00279,1247842.08
P15085015,200,2024,C00255,1755180.0
P15085015,200,2024,C00500,263277.0
P15085015,200,2024,C00032,175518.0
P15085015,200,2024,C00033,2632770.0
P15085015,200,2024,C00195,702071.9999999999
P15085015,200,2024,C00296,35103.6
P15085015,200,2024,C00279,0.0
C17283737,200,2024,C00255,17122484.0
C17283737,200,2024,C00500,6848993.600000001
C17283737,200,2024,C00032,1000.0
C17283737,200,2024,C00033,25683726.0
C17283737,200,2024,C00195,1712248.4000000001
C17283737,200,2024,C00296,684899.3600000001
C17283737,200,2024,C00279,342449.68
J84904794,200,2024,C00255,173643.0
J84904794,200,2024,C00500,26046.45
J84904794,200,2024,C00032,17364.3
J84904794,200,2024,C00033,260464.5
J84904794,200,2024,C00195,69457.2
J84904794,200,2024,C00296,3472.86
J84904794,200,2024,C00279,0.0
H44715141,200,2024,C00255,7786276.0
H44715141,200,2024,C00500,1167941.4
H44715141,200,2024,C00032,778627.6000000001
H44715141,200,2024,C00033,11679414.0
H44715141,200,2024,C00195,3114510.3999999994
H44715141,200,2024,C00296,155725.52
H44715141,200,2024,C00279,389313.80000000005
R70549061,200,2024,C00255,23202377.0
R70549061,200,2024,C00500,3480356.55
R70549061,200,2024,C00032,2320237.7
R70549061,200,2024,C00033,34803565.5
R70549061,200,2024,C00195,9280950.8
R70549061,200,2024,C00296,464047.54000000004
R70549061,200,2024,C00279,1160118.85
S52467059,200,2024,C00255,15243099.0
S52467059,200,2024,C00500,2286464.85
S52467059,200,2024,C00032,1524309.9000000001
S52467059,200,2024,C00033,22864648.5
S52467059,200,2024,C00195,6097239.6
S52467059,200,2024,C00296,304861.98
S52467059,200,2024,C00279,0.0
R25878730,200,2024,C00255,74117832.0
R25878730,200,2024,C00500,29647132.8
R25878730,200,2024,C00032,1000.0
R25878730,200,2024,C00033,111176748.0
R25878730,200,2024,C00195,7411783.2
R25878730,200,2024,C00296,2964713.2800000003
R25878730,200,2024,C00279,1482356.6400000001
C88598977,200,2024,C00255,510652.0
C88598977,200,2024,C00500,76597.8
C88598977,200,2024,C00032,51065.200000000004
C88598977,200,2024,C00033,765978.0
C88598977,200,2024,C00195,204260.80000000002
C88598977,200,2024,C00296,10213.04
