id,nif,nombre,tipo,sector_cnae
0,E31599504,Fábrica Olivares S.L.,SANA,Comercio
1,A54367386,Barco & Asociados S.Coop.,SANA,Transporte
2,E15360735,Inversiones OBGZ S.Com.,FRAUDE_CARRUSEL,Tecnologia
3,P90111922,Coral Quiroga Priego S.Com.,SANA,Construccion
4,N75840632,Tecnologías Cámara S.Coop.,FRAUDE_MAQUILLAJE,Comercio
5,C52662313,Familia Comas S.Coop.,SANA,Tecnologia
6,F79874593,Comercial ZQMD S.A.,SANA,Construccion
7,W31390345,Guiomar Garzón Garcés S.Com.,SANA,Transporte
8,R22340723,Oliva & Asociados S.L.L.,SANA,Comercio
9,H38635863,Heraclio Orozco Nuñez S.A.,SANA,Comercio
10,P58425464,Torrecilla & Asociados S.L.,SANA,Comercio
11,G92984217,Salazar y asociados S.Com.,SANA,Transporte
12,A25397719,Sigfrido Peralta Zapata S.L.N.E,SANA,Comercio
13,U42258945,Transportes Fortuny y asociados S.A.,SANA,Tecnologia
14,B53075436,Hnos Sanz S.L.N.E,SANA,Transporte
15,D61791391,Construcción Castellana S.C.P,SANA,Comercio
16,N13315946,Construcción Avanzadas S.L.,SANA,Comercio
17,W78281335,Construcción IJQ S.C.P,SANA,Transporte
18,V15885670,Industrias MCG S.L.L.,SANA,Comercio
19,G52991650,Familia Guzman S.L.L.,FRAUDE_CARRUSEL,Construccion
20,D32467350,Construcción QBW S.L.N.E,SANA,Construccion
21,C38290610,Talleres Ibéricos S.L.,FRAUDE_CARRUSEL,Tecnologia
22,S23948820,Soluciones Amaya y asociados S.L.,SANA,Tecnologia
23,S96779969,Infraestructuras del Sur S.Coop.,SANA,Construccion
24,E13188066,Ribas & Asociados S.Com.,FRAUDE_MAQUILLAJE,Transporte
25,P15085015,Logística Anglada S.L.,SANA,Construccion
26,C17283737,Barriga y Lucas S.L.N.E,FRAUDE_MAQUILLAJE,Tecnologia
27,J84904794,Inversiones Antúnez & Asociados S.L.,SANA,Construccion
28,H44715141,Minería Globales S.L.L.,SANA,Transporte
29,R70549061,Poncio Torralba Salamanca S.L.,SANA,Transporte
30,S52467059,Logística del Sur S.L.,SANA,Construccion
31,R25878730,Hermanos Romeu S.L.L.,FRAUDE_MAQUILLAJE,Construccion
32,C88598977,Carbonell y Moliner S.L.,SANA,Construccion
33,C58009699,Soluciones Soria y asociados S.Coop.,SANA,Construccion
34,N50446607,Fernandez y Duque S.Com.,SANA,Construccion
35,N68743898,Reynaldo Somoza Roig S.A.,SANA,Transporte
36,R98680762,Manufacturas ANI S.L.,SANA,Construccion
37,V30981381,Supermercados Roman y asociados S.A.U,SANA,Tecnologia
38,E62478133,Hermanos Requena S.A.,SANA,Comercio
39,E50004466,Supermercados Ayllón & Asociados S.Coop.,SANA,Comercio
40,A84292758,Hnos Menéndez S.L.,SANA,Tecnologia
41,D15606696,Inmobiliaria Gallo & Asociados S.Coop.,SANA,Construccion
42,R82095327,Despacho Montero S.C.P,SANA,Construccion
43,N38192821,Marianela Chacón Meléndez S.L.U.,SANA,Comercio
44,G65385548,Grupo Alvarez S.A.,SANA,Tecnologia
45,F34695085,Alimentación Jove y asociados S.Coop.,SANA,Tecnologia
46,J36082023,Banca Privada QJ S.A.,SANA,Construccion
47,F86140729,Camino y Salvador S.L.N.E,SANA,Construccion
48,U96526748,Comercial LSDA S.L.N.E,SANA,Construccion
49,N19041276,Grande y Tormo S.C.P,SANA,Comercio
50,D36496940,Sainz y Palomo S.L.L.,SANA,Transporte
51,P57934299,Fábrica ZUE S.L.,SANA,Tecnologia
52,H23427820,Fábrica KY S.A.,SANA,Comercio
53,C35970938,Despacho Rosado & Asociados S.Coop.,SANA,Comercio
54,V70484679,Inmobiliaria Catalá S.L.,SANA,Comercio
55,N88405961,Pedrero y asociados S.L.,SANA,Tecnologia
56,Q52457517,Manufacturas IGKJ S.A.,SANA,Transporte
57,F10648524,Busquets y asociados S.L.U.,FRAUDE_CARRUSEL,Comercio
58,H39732676,Despacho PYDZ S.Com.,SANA,Transporte
59,J58249394,Collado y Gómez S.C.P,SANA,Tecnologia
60,P74418331,Tejero & Asociados S.Coop.,SANA,Transporte
61,U58149482,Logística HYJI S.A.U,FRAUDE_CARRUSEL,Comercio
62,V84044139,Matilde Sánchez Almazán S.Com.,FRAUDE_MAQUILLAJE,Construccion
63,F96644469,Instalaciones Hervás y asociados S.Com.,SANA,Construccion
64,J28790705,Minería Pastor S.L.,FRAUDE_MAQUILLAJE,Tecnologia
65,J94103363,Hnos Andrés S.L.N.E,SANA,Construccion
66,C12500515,Ayllón y Baena S.L.N.E,SANA,Construccion
67,R89193333,Pascuala Casanovas Lerma S.A.,SANA,Tecnologia
68,B84033693,Cifuentes & Asociados S.L.,SANA,Comercio
69,V97766064,Villalobos y Figueroa S.L.N.E,SANA,Tecnologia
70,Q62680236,Construcción Pujol S.Com.,SANA,Tecnologia
71,N27969238,Gual y Verdugo S.Coop.,SANA,Transporte
72,W78506338,Josefa Valenzuela Solano S.L.L.,FRAUDE_MAQUILLAJE,Construccion
73,R58837208,Compañía Arce y asociados S.Com.,SANA,Construccion
74,H92414513,Rosalva Navarrete Bru S.L.N.E,SANA,Tecnologia
75,W28840235,Villaverde y Castells S.A.,SANA,Transporte
76,F34044459,Jódar & Asociados S.L.,SANA,Tecnologia
77,V58156722,Servicios UDP S.L.,FRAUDE_CARRUSEL,Construccion
78,H75450221,Promociones Torrent S.Com.,SANA,Tecnologia
79,C45481411,Blanes y asociados S.L.,SANA,Comercio
80,H15745651,Industrias Alcántara S.A.,SANA,Tecnologia
81,W58486337,Hnos Español S.L.,SANA,Transporte
82,V71021210,Catalán y Arcos S.A.,SANA,Construccion
83,B97043518,Roldan y Zaragoza S.A.,FRAUDE_CARRUSEL,Comercio
84,D79977486,Puig y Riera S.Com.,SANA,Comercio
85,J87662596,Hnos Mendizábal S.A.D,SANA,Tecnologia
86,R97734815,Hotel Integrales S.A.T.,SANA,Transporte
87,Q88876916,Infraestructuras Sotelo & Asociados S.Coop.,SANA,Construccion
88,W43767356,Sáenz & Asociados S.A.,FRAUDE_CARRUSEL,Transporte
89,H79306247,Construcción Gálvez y asociados S.A.,SANA,Transporte
