nif_declarante,nif_contraparte,importe,is_circular
A0089175D,G0020955Y,59042,False
F0004683J,U0003761G,28705,False
P0025993S,J0037236D,6220,False
N0002922Q,V0095919E,112197,False
W0023070H,N0007483D,22464,False
N0095833G,N0066677W,9074,False
V0029617Z,J0053712T,8884,False
W0097294Q,R0076077G,42188,False
P0030364W,D0080458P,240508,False
H0034620F,E0040421A,61787,False
B0038074L,W0059422Q,6907,False
U0048610F,J0075246K,9884,False
B0065619F,J0015970Y,34984,False
Q0074264S,G0089501P,7312,False
N0033592Q,Q0064053B,22525,False
Q0078141N,H0051780R,23924,False
W0025845A,R0097048L,6356,False
F0043461Q,R0072401N,109180,False
H0063909Q,U0060805Z,139134,False
F0056765N,S0085315M,37499,False
N0027941R,Q0004136Q,31384,False
B0003502M,V0053403H,3891,False
V0026774G,A0070754S,41197,False
V0024333M,D0019586A,44998,False
J0021244Z,J0065517X,4415,False
V0011695H,Q0019291D,19327,False
S0020142Q,D0072374C,19012,False
S0086054D,S0004806E,34890,False
D0003633M,C0085014Y,14687,False
H0010920V,E0096380P,68134,False
P0027322J,G0046263D,14897,False
G0003422P,N0067836K,40586,False
R0092067T,A0015148Y,27746,False
U0047549Y,J0020920Y,23820,False
B0083295N,R0069986T,10497,False
R0017977K,G0055246R,29586,False
Q0009332F,P0090753F,5312,False
W0094735R,G0020956Z,88462,False
A0095875K,G0055394Q,18811,False
B0059455N,V0017726Q,143409,False
W0058921W,E0022871V,37913,False
B0086994V,W0070569F,129705,False
P0084488P,Q0058278Y,3089,False
V0080618T,U0082145Y,51914,False
A0041899Y,J0097756K,32466,False
P0052537H,A0019057Z,38559,False
E0060823C,H0040180X,12105,False
V0004290V,P0025940Q,20212,False
J0031270V,H0072976V,55014,False
H0026830S,E0022595B,30665,False
D0042741A,N0020153M,45383,False
F0090788N,A0044760T,6337,False
W0087227Z,J0029478Y,9730,False
B0095815X,F0023134Z,10527,False
E0089353H,C0005297Z,20621,False
F0037745W,Q0037010N,3485,False
G0039884N,H0017463Y,12230,False
N0010271T,D0080238C,13153,False
B0027267G,B0015182Y,26135,False
H0002842C,S0043823V,15683,False
Q0049582Z,Q0093285N,20530,False
U0004082F,F0079456N,39563,False
R0039968G,P0097990M,11340,False
W0011982P,J0057134D,118394,False
P0072609W,S0032338G,25965,False
R0011292E,R0054669F,12107,False
Q0099733C,U0055592D,23544,False
B0046161A,N0006693W,6877,False
W0025634F,J0059757R,54555,False
N0056340F,U0082531C,5177,False
C0078444Y,A0086554N,9028,False
G0032121D,J0022123E,24083,False
B0062919T,C0057933N,36920,False
D0053254E,R0074850L,44259,False
G0007398P,G0055931N,13722,False
N0080736W,R0041559P,27083,False
G0016321Z,S0058445G,5135,False
Q0040178F,Q0095727B,17090,False
C0067543K,H0057614Z,27364,False
A0083300C,U0070823K,89105,False
D0034616S,J0042950A,76089,False
C0086169M,D0004966J,7138,False
